mp_id	fullname	year	guid	format	decl_url
15824	Лабазюк Сергій Петрович	2014	e7b937e0-8bd0-4a43-8d0d-29621db34b4e	json	http://itd.rada.gov.ua/declview/Home/Main/15824/2014
15824	Лабазюк Сергій Петрович	2015	13fb4755-3f46-41f2-8eb8-76bba85fa45b	json	http://itd.rada.gov.ua/declview/Home/Main/15824/2015
18113	Лаврик Микола Іванович	2013	4ae704a2-8781-455d-849f-fcf82604fe12	json	http://itd.rada.gov.ua/declview/Home/Main/18113/2013
18113	Лаврик Микола Іванович	2014	4fba0700-99b7-49e9-8214-cbff3067cb67	json	http://itd.rada.gov.ua/declview/Home/Main/18113/2014
18113	Лаврик Микола Іванович	2015	41e1654d-ed34-4a9b-89e1-eec5eb56e375	json	http://itd.rada.gov.ua/declview/Home/Main/18113/2015
18011	Лаврик Олег Васильович	2014	18cecd48-6f78-445d-81f6-d08e57c79587	json	http://itd.rada.gov.ua/declview/Home/Main/18011/2014
18011	Лаврик Олег Васильович	2015	6ebb6825-5768-492f-8745-dac042789deb	json	http://itd.rada.gov.ua/declview/Home/Main/18011/2015
15756	Ланьо Михайло Іванович	2013	b8057af2-069b-4f4f-8450-964e6d425cb1	json	http://itd.rada.gov.ua/declview/Home/Main/15756/2013
15756	Ланьо Михайло Іванович	2014	366d9129-ddf3-4258-8156-e5032cf007f0	json	http://itd.rada.gov.ua/declview/Home/Main/15756/2014
15756	Ланьо Михайло Іванович	2015	76b83a3a-bdab-459c-8e3e-44a145c07c3c	json	http://itd.rada.gov.ua/declview/Home/Main/15756/2015
18114	Лапін Ігор Олександрович	2013	6aaef524-a7b4-4ecc-8b6a-02d67760302a	json	http://itd.rada.gov.ua/declview/Home/Main/18114/2013
18114	Лапін Ігор Олександрович	2014	cf16a80d-3e92-433f-884b-ea1ffc2af520	json	http://itd.rada.gov.ua/declview/Home/Main/18114/2014
18114	Лапін Ігор Олександрович	2015	5c3b72f7-193d-4e87-82bb-441d67b41f29	json	http://itd.rada.gov.ua/declview/Home/Main/18114/2015
2179	Ларін Сергій Миколайович	2013	3fdfedec-3ffe-4eaa-8385-f999a6bf7ca1	json	http://itd.rada.gov.ua/declview/Home/Main/2179/2013
2179	Ларін Сергій Миколайович	2014	3fd3111e-08f2-4faa-8a3a-f66a53e3f0d5	json	http://itd.rada.gov.ua/declview/Home/Main/2179/2014
2179	Ларін Сергій Миколайович	2015	5a79394d-d31c-4214-8f4f-44e68755d0b5	json	http://itd.rada.gov.ua/declview/Home/Main/2179/2015
